Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13060340,2020-11-14 10:24:12,2020-11-14 10:20:24,43344,16470720,43344,380,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060340/SRR13060340.lite.1,SRX9508275,M00175:A4.2.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716813,SAMN16679326,simple,408170,human gut metagenome,A4.2.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,364716FE941A42C1408C18FC981EB115,9D4F579D0474A4447F5DB896B9FF9E9A
SRR13060349,2020-11-14 10:24:12,2020-11-14 10:20:15,48344,18370720,48344,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060349/SRR13060349.lite.1,SRX9508266,M00175:A35.1.180_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716804,SAMN16679318,simple,408170,human gut metagenome,A35.1.180_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,F95671C426BFD5BE8B115E12DB834E92,085CE50926F35AEDD100EF4F46B74189
SRR13060348,2020-11-14 10:24:12,2020-11-14 10:20:23,39692,15082960,39692,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060348/SRR13060348.lite.1,SRX9508267,M00175:A35.1.30_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716805,SAMN16679319,simple,408170,human gut metagenome,A35.1.30_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,8BE405A16CCFA83E8A180C5FA2AFA88A,8FA8DC29B0DB983EEFB9C0357ABECA07
SRR13060347,2020-11-14 10:50:50,2020-11-14 10:20:23,49328,18744640,49328,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060347/SRR13060347.lite.1,SRX9508268,M00175:A35.1.60_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716806,SAMN16679320,simple,408170,human gut metagenome,A35.1.60_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,19FB6DB3E44483372CA83A9788226181,2A32A38B0763E1FA914757612E08373C
SRR13060346,2020-11-14 10:24:12,2020-11-14 10:20:19,41496,15768480,41496,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13060/SRR13060346/SRR13060346.lite.1,SRX9508269,M00175:A35.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716807,SAMN16679321,simple,408170,human gut metagenome,A35.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,052974CEB30C6E76A68D1A079416A024,402B2A30B05569C3F7F64C536AE80B3C
SRR13060345,2020-11-14 10:50:50,2020-11-14 10:20:12,22745,8643100,22745,380,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060345/SRR13060345.lite.1,SRX9508270,M00175:A4.1.0_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716808,SAMN16679322,simple,408170,human gut metagenome,A4.1.0_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,E36612DF9E281AFEA3174F39CA6C6769,5DCCC0E25BA49C6068B0587E60A63135
SRR13060354,2020-11-14 10:26:30,2020-11-14 10:22:32,4598789,1245952852,4598789,270,499,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060354/SRR13060354.lite.1,SRX9508261,NS500153:4.15.DS_wgs,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP292558,PRJNA674880,,674880,SRS7716799,SAMN16679016,simple,408170,human gut metagenome,4.15.DS_wgs,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,E795C86D243EFA12051BA5C7779C8F37,6B6834EFA2FC6A94968D196468634447
SRR13060353,2020-11-14 10:24:12,2020-11-14 10:20:14,50560,19212800,50560,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060353/SRR13060353.lite.1,SRX9508262,M00175:A3.2.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716800,SAMN16679314,simple,408170,human gut metagenome,A3.2.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,95CF05F261C076E48F9FBDF912BA9EFE,9E2A5A4FE38FFC71C377F186F2B3ADC6
SRR13060352,2020-11-14 10:24:12,2020-11-14 10:20:20,45173,17165740,45173,380,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060352/SRR13060352.lite.1,SRX9508263,M00175:A33.1.0_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716802,SAMN16679315,simple,408170,human gut metagenome,A33.1.0_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,427480A7FAA080E14520696BD4968ED8,B307669857FD55D8CD81CEFA80934E16
SRR13060351,2020-11-14 10:24:12,2020-11-14 10:20:21,50136,19051680,50136,380,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060351/SRR13060351.lite.1,SRX9508264,M00175:A33.1.14_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7716801,SAMN16679316,simple,408170,human gut metagenome,A33.1.14_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,499A4F01544471BFA2C860C24E5F3599,41554193853A74EF953A7DC46C0A9910
